CommonName,Easting,Northing,SP_GEOMETRY
Holly Blue,458500,209800,System.__ComObject
Holly Blue,458500,209800,System.__ComObject
Holly Blue,458500,209800,System.__ComObject
Holly Blue,458500,209800,System.__ComObject
Holly Blue,458500,209800,System.__ComObject
Holly Blue,440100,214300,System.__ComObject
Holly Blue,440200,213600,System.__ComObject
Holly Blue,434200,193500,System.__ComObject
Holly Blue,465300,185700,System.__ComObject
Holly Blue,460700,209000,System.__ComObject
Holly Blue,460700,209000,System.__ComObject
Holly Blue,470300,193700,System.__ComObject
Holly Blue,470400,193600,System.__ComObject
Holly Blue,470300,193700,System.__ComObject
Holly Blue,446700,206800,System.__ComObject
Holly Blue,448200,214200,System.__ComObject
Holly Blue,447600,204200,System.__ComObject
Holly Blue,458700,210200,System.__ComObject
Holly Blue,456700,183600,System.__ComObject
Holly Blue,439900,213500,System.__ComObject
Holly Blue,463500,176900,System.__ComObject
Holly Blue,429800,217500,System.__ComObject
Holly Blue,424800,215000,System.__ComObject
Holly Blue,452300,204900,System.__ComObject
Holly Blue,456500,206200,System.__ComObject
Holly Blue,456000,205400,System.__ComObject
Holly Blue,431500,212500,System.__ComObject
Holly Blue,437300,214700,System.__ComObject
Holly Blue,432500,216400,System.__ComObject
Holly Blue,433000,216400,System.__ComObject
Holly Blue,433800,217000,System.__ComObject
Holly Blue,434600,216700,System.__ComObject
Holly Blue,454400,202300,System.__ComObject
Holly Blue,438500,216100,System.__ComObject
Holly Blue,438600,215900,System.__ComObject
Holly Blue,425100,220400,System.__ComObject
Holly Blue,436900,215000,System.__ComObject
Holly Blue,457500,212800,System.__ComObject
Holly Blue,476600,200700,System.__ComObject
Holly Blue,439600,216600,System.__ComObject
Holly Blue,443200,233000,System.__ComObject
Holly Blue,439400,216500,System.__ComObject
Holly Blue,453800,227300,System.__ComObject
Holly Blue,451200,217100,System.__ComObject
Holly Blue,446400,251100,System.__ComObject
Holly Blue,433800,217000,System.__ComObject
Holly Blue,445500,227500,System.__ComObject
Holly Blue,445500,227500,System.__ComObject
Holly Blue,451700,208300,System.__ComObject
Holly Blue,455500,193500,System.__ComObject
Holly Blue,455000,209300,System.__ComObject
Holly Blue,472700,182300,System.__ComObject
Holly Blue,444900,201600,System.__ComObject
Holly Blue,434000,198000,System.__ComObject
Holly Blue,432900,219500,System.__ComObject
Holly Blue,433600,196300,System.__ComObject
Holly Blue,423800,196500,System.__ComObject
Holly Blue,424700,196600,System.__ComObject
Holly Blue,424900,196800,System.__ComObject
Holly Blue,440800,204900,System.__ComObject
Holly Blue,447300,200100,System.__ComObject
Holly Blue,440500,202700,System.__ComObject
Holly Blue,445000,200600,System.__ComObject
Holly Blue,436900,215000,System.__ComObject
Holly Blue,435400,199800,System.__ComObject
Holly Blue,440100,206100,System.__ComObject
Holly Blue,424900,189500,System.__ComObject
Holly Blue,439600,216600,System.__ComObject
Holly Blue,439800,216900,System.__ComObject
Holly Blue,439100,216600,System.__ComObject
Holly Blue,439100,216600,System.__ComObject
Holly Blue,439400,216500,System.__ComObject
Holly Blue,439000,235600,System.__ComObject
Holly Blue,424000,190000,System.__ComObject
Holly Blue,440100,204600,System.__ComObject
Holly Blue,436800,231600,System.__ComObject
Holly Blue,433300,216800,System.__ComObject
Holly Blue,434500,216900,System.__ComObject
Holly Blue,434500,216900,System.__ComObject
Holly Blue,444400,216700,System.__ComObject
Holly Blue,444400,216700,System.__ComObject
Holly Blue,448600,227000,System.__ComObject
Holly Blue,449900,231000,System.__ComObject
Holly Blue,448900,235000,System.__ComObject
Holly Blue,448400,237000,System.__ComObject
Holly Blue,449400,235000,System.__ComObject
Holly Blue,448200,215800,System.__ComObject
Holly Blue,448500,218400,System.__ComObject
