SP_GEOMETRY,CommonName,Easting,Northing,RecYear
System.__ComObject,Whitethroat,426600,211400,2004
System.__ComObject,Whitethroat,448790,209910,1998
System.__ComObject,Whitethroat,442830,219640,2009
System.__ComObject,Whitethroat,440250,202114,2007
System.__ComObject,Whitethroat,440278,202197,2007
System.__ComObject,Whitethroat,440357,202277,2007
System.__ComObject,Whitethroat,451300,210230,2007
System.__ComObject,Whitethroat,439581,202534,2007
System.__ComObject,Whitethroat,439503,202623,2007
System.__ComObject,Whitethroat,439490,202600,2007
System.__ComObject,Whitethroat,440158,201589,2007
System.__ComObject,Whitethroat,439878,202411,2007
System.__ComObject,Whitethroat,440387,201386,2007
System.__ComObject,Whitethroat,440378,201296,2007
System.__ComObject,Whitethroat,440526,200457,2007
System.__ComObject,Whitethroat,460200,225000,2009
System.__ComObject,Whitethroat,460300,194300,2009
System.__ComObject,Whitethroat,441000,243000,2009
System.__ComObject,Whitethroat,460200,225000,2009
System.__ComObject,Whitethroat,452400,203500,2002
System.__ComObject,Whitethroat,452400,203500,2001
System.__ComObject,Whitethroat,434888,199905,2007
System.__ComObject,Whitethroat,452400,203500,2006
System.__ComObject,Whitethroat,452400,203500,2006
System.__ComObject,Whitethroat,452400,203500,2007
System.__ComObject,Whitethroat,452400,203500,2007
System.__ComObject,Whitethroat,459019,214294,2007
System.__ComObject,Whitethroat,435628,201115,2007
System.__ComObject,Whitethroat,483863,162845,2007
System.__ComObject,Whitethroat,483984,162752,2007
System.__ComObject,Whitethroat,460111,185498,2007
System.__ComObject,Whitethroat,460097,185491,2007
System.__ComObject,Whitethroat,460780,210970,2008
System.__ComObject,Whitethroat,460600,211100,1984
System.__ComObject,Whitethroat,460600,211100,1983
System.__ComObject,Whitethroat,452400,203500,1988
System.__ComObject,Whitethroat,452400,203500,1989
System.__ComObject,Whitethroat,452400,203500,1989
System.__ComObject,Whitethroat,452400,203500,1991
System.__ComObject,Whitethroat,452400,203500,1993
System.__ComObject,Whitethroat,452400,203500,1999
System.__ComObject,Whitethroat,444400,183500,2009
System.__ComObject,Whitethroat,435100,214700,1999
System.__ComObject,Whitethroat,435100,214700,1997
System.__ComObject,Whitethroat,440343,202232,2007
System.__ComObject,Whitethroat,440377,202234,2007
System.__ComObject,Whitethroat,456000,206500,1975
System.__ComObject,Whitethroat,440600,201582,2007
System.__ComObject,Whitethroat,439849,202378,2007
System.__ComObject,Whitethroat,440095,200620,2007
System.__ComObject,Whitethroat,444200,234100,2008
System.__ComObject,Whitethroat,424400,206800,2008
System.__ComObject,Whitethroat,424940,206780,2008
System.__ComObject,Whitethroat,424840,206570,2008
System.__ComObject,Whitethroat,424430,206890,2008
System.__ComObject,Whitethroat,441800,241400,1977
System.__ComObject,Whitethroat,445900,242200,1979
System.__ComObject,Whitethroat,459300,210000,2001
System.__ComObject,Whitethroat,452300,203200,1986
System.__ComObject,Whitethroat,455500,209600,1990
System.__ComObject,Whitethroat,442200,235400,1986
System.__ComObject,Whitethroat,472000,188000,1899
System.__ComObject,Whitethroat,473500,174500,1978
System.__ComObject,Whitethroat,439500,184800,1986
System.__ComObject,Whitethroat,452300,204600,1989
System.__ComObject,Whitethroat,456300,217500,1980
System.__ComObject,Whitethroat,442500,235500,1970
System.__ComObject,Whitethroat,448400,217800,2001
System.__ComObject,Whitethroat,446900,221100,1980
System.__ComObject,Whitethroat,456500,206200,1978
System.__ComObject,Whitethroat,445200,199600,1981
System.__ComObject,Whitethroat,451800,193000,1985
System.__ComObject,Whitethroat,446700,199500,1899
System.__ComObject,Whitethroat,450000,192000,1981
System.__ComObject,Whitethroat,423600,215100,1986
System.__ComObject,Whitethroat,448700,210700,2001
System.__ComObject,Whitethroat,448700,210700,1986
System.__ComObject,Whitethroat,450400,208000,1989
System.__ComObject,Whitethroat,448500,217500,2003
System.__ComObject,Whitethroat,425800,214000,1986
System.__ComObject,Whitethroat,454100,212600,1985
System.__ComObject,Whitethroat,441300,200400,1977
System.__ComObject,Whitethroat,440100,213600,1899
System.__ComObject,Whitethroat,440100,213600,1980
System.__ComObject,Whitethroat,476600,200500,1989
System.__ComObject,Whitethroat,425000,220500,1981
System.__ComObject,Whitethroat,446700,201200,1983
System.__ComObject,Whitethroat,473000,197000,1976
System.__ComObject,Whitethroat,455600,209600,1974
System.__ComObject,Whitethroat,455400,197000,1977
System.__ComObject,Whitethroat,472300,195700,1981
System.__ComObject,Whitethroat,459500,183600,1980
System.__ComObject,Whitethroat,451200,202200,1975
System.__ComObject,Whitethroat,443000,191600,1980
System.__ComObject,Whitethroat,447500,217500,1975
System.__ComObject,Whitethroat,450500,186500,1979
System.__ComObject,Whitethroat,470200,205700,1994
System.__ComObject,Whitethroat,425000,220500,1930
System.__ComObject,Whitethroat,449400,205500,1899
System.__ComObject,Whitethroat,425200,223200,2003
System.__ComObject,Whitethroat,457300,192900,1977
System.__ComObject,Whitethroat,457000,213400,1974
System.__ComObject,Whitethroat,457900,195400,1976
System.__ComObject,Whitethroat,455500,206600,1991
System.__ComObject,Whitethroat,451700,228700,1983
System.__ComObject,Whitethroat,425000,220500,1981
System.__ComObject,Whitethroat,457000,192800,1985
System.__ComObject,Whitethroat,447300,210900,2005
System.__ComObject,Whitethroat,472000,188000,1985
System.__ComObject,Whitethroat,457700,220900,2002
System.__ComObject,Whitethroat,456000,205400,2002
System.__ComObject,Whitethroat,456700,205900,2002
System.__ComObject,Whitethroat,449000,208500,2002
System.__ComObject,Whitethroat,453300,204700,2004
System.__ComObject,Whitethroat,471800,187900,1973
System.__ComObject,Whitethroat,471800,187900,1973
System.__ComObject,Whitethroat,435340,201130,2006
System.__ComObject,Whitethroat,478500,175700,1994
System.__ComObject,Whitethroat,436200,209500,1992
System.__ComObject,Whitethroat,436200,209500,1990
System.__ComObject,Whitethroat,447300,210900,2005
System.__ComObject,Whitethroat,447300,210900,2005
System.__ComObject,Whitethroat,447300,210900,2005
System.__ComObject,Whitethroat,446950,225840,2006
System.__ComObject,Whitethroat,457700,220900,2000
System.__ComObject,Whitethroat,457700,220900,2001
System.__ComObject,Whitethroat,452200,205400,2002
System.__ComObject,Whitethroat,471800,187900,1974
System.__ComObject,Whitethroat,471800,187900,1978
System.__ComObject,Whitethroat,471800,187900,1977
System.__ComObject,Whitethroat,453000,198000,2003
System.__ComObject,Whitethroat,454250,212530,2006
System.__ComObject,Whitethroat,453000,198000,2002
System.__ComObject,Whitethroat,451300,196900,2003
System.__ComObject,Whitethroat,451300,196900,2003
System.__ComObject,Whitethroat,472300,187400,1974
System.__ComObject,Whitethroat,455270,209500,2002
System.__ComObject,Whitethroat,471000,188100,1977
System.__ComObject,Whitethroat,453000,198000,2003
System.__ComObject,Whitethroat,453000,198000,2002
System.__ComObject,Whitethroat,452400,203500,1988
System.__ComObject,Whitethroat,471800,187900,1978
System.__ComObject,Whitethroat,456000,205400,1983
System.__ComObject,Whitethroat,457100,205500,2001
System.__ComObject,Whitethroat,452400,203500,1991
System.__ComObject,Whitethroat,452400,203500,1993
System.__ComObject,Whitethroat,452400,203500,1989
System.__ComObject,Whitethroat,455700,205300,1996
System.__ComObject,Whitethroat,452400,203500,1999
System.__ComObject,Whitethroat,452400,203500,2001
System.__ComObject,Whitethroat,456500,199500,2003
System.__ComObject,Whitethroat,456700,205900,2003
System.__ComObject,Whitethroat,472000,188000,1966
System.__ComObject,Whitethroat,449500,212100,2003
System.__ComObject,Whitethroat,451300,204800,2003
System.__ComObject,Whitethroat,457000,199600,2003
System.__ComObject,Whitethroat,456700,205900,2003
System.__ComObject,Whitethroat,456000,205400,2003
System.__ComObject,Whitethroat,456700,205900,2003
System.__ComObject,Whitethroat,472000,188000,1974
System.__ComObject,Whitethroat,460330,214360,2003
System.__ComObject,Whitethroat,456700,205900,2004
System.__ComObject,Whitethroat,456900,205800,2002
System.__ComObject,Whitethroat,456700,205900,2002
System.__ComObject,Whitethroat,456600,205400,2002
System.__ComObject,Whitethroat,444200,234100,2008
System.__ComObject,Whitethroat,456700,205900,2002
System.__ComObject,Whitethroat,452400,203500,2002
System.__ComObject,Whitethroat,456500,205500,2002
System.__ComObject,Whitethroat,456500,205800,2002
System.__ComObject,Whitethroat,455900,205800,2002
System.__ComObject,Whitethroat,456900,205600,2002
System.__ComObject,Whitethroat,460330,214360,2002
System.__ComObject,Whitethroat,456700,205900,2002
System.__ComObject,Whitethroat,456700,205900,2004
System.__ComObject,Whitethroat,456700,205900,2004
System.__ComObject,Whitethroat,462440,201140,2002
System.__ComObject,Whitethroat,472000,188000,1974
System.__ComObject,Whitethroat,472300,187400,1977
System.__ComObject,Whitethroat,425200,220350,2002
System.__ComObject,Whitethroat,451210,198010,2002
System.__ComObject,Whitethroat,451210,198010,2002
System.__ComObject,Whitethroat,460170,185630,2002
System.__ComObject,Whitethroat,451180,198020,2004
System.__ComObject,Whitethroat,459250,213930,2004
System.__ComObject,Whitethroat,459250,213930,2004
System.__ComObject,Whitethroat,459250,213930,2004
System.__ComObject,Whitethroat,459250,213930,2004
System.__ComObject,Whitethroat,460170,185630,2004
